TXNAME	GENEID	R2_HCC827	R3_HCC827	R1_HCC827	R3_H1975	R1_H1975	R2_H1975
ENST00000797465	ENSG00000303847	1	0	0	1	0	0
ENST00000797470	ENSG00000303848	0	1	0	0	0	0
ENST00000797475	ENSG00000246523	0	0	0	1	1	0
ENST00000797477	ENSG00000246523	0	0	0	1	2	0
ENST00000797482	ENSG00000246523	0	0	0	0	0	1
ENST00000797485	ENSG00000246523	0	0	0	1	2	2
ENST00000797487	ENSG00000246523	0	0	0	0	1	0
ENST00000797495	ENSG00000303850	0	0	1	2	1	0
ENST00000797496	ENSG00000303851	21	24	33	0	0	0
ENST00000797533	ENSG00000286667	0	4	2	0	0	0
ENST00000797551	ENSG00000260520	0	0	1	0	0	0
ENST00000797554	ENSG00000269235	0	0	0	16	21	20
ENST00000797555	ENSG00000269235	0	0	0	0	1	4
ENST00000797557	ENSG00000269235	0	0	0	19	16	4
ENST00000797558	ENSG00000269235	0	0	0	5	3	4
ENST00000797559	ENSG00000269235	0	0	0	27	16	31
ENST00000797560	ENSG00000269235	0	0	0	3	4	1
ENST00000797563	ENSG00000303859	0	1	0	0	0	0
ENST00000797568	ENSG00000282904	0	0	0	0	1	0
ENST00000797570	ENSG00000282904	0	0	3	0	0	0
ENST00000797572	ENSG00000282904	1	0	0	0	0	1
ENST00000797574	ENSG00000282904	0	0	0	0	4	0
ENST00000797575	ENSG00000282904	0	0	0	2	1	2
ENST00000797585	ENSG00000303861	2	1	0	0	0	0
ENST00000797589	ENSG00000303861	0	1	0	0	0	0
ENST00000797590	ENSG00000303861	0	0	1	0	0	0
ENST00000797618	ENSG00000237292	0	0	0	3	1	1
ENST00000797619	ENSG00000237292	0	0	0	0	1	0
ENST00000797622	ENSG00000237292	0	0	0	2	0	0
ENST00000797627	ENSG00000231652	0	0	1	3	4	2
ENST00000797628	ENSG00000231652	0	0	0	0	1	0
ENST00000797629	ENSG00000231652	2	0	0	1	0	0
ENST00000797631	ENSG00000231652	0	0	2	0	1	0
ENST00000797633	ENSG00000303865	2	0	3	0	0	0
ENST00000797641	ENSG00000223855	0	0	0	4	4	5
ENST00000797651	ENSG00000223855	0	0	0	2	1	1
ENST00000797655	ENSG00000293612	0	0	0	0	0	1
ENST00000797729	ENSG00000303868	0	0	0	1	1	2
ENST00000797730	ENSG00000303868	0	0	0	1	3	0
ENST00000797735	ENSG00000303868	0	0	0	0	0	3
ENST00000797736	ENSG00000303868	0	0	0	0	0	2
ENST00000797741	ENSG00000303868	0	0	0	1	0	0
ENST00000797745	ENSG00000303868	0	0	0	0	0	1
ENST00000797747	ENSG00000303868	0	0	0	0	2	0
ENST00000797755	ENSG00000303871	0	0	0	1	0	1
ENST00000797763	ENSG00000303873	0	0	0	0	0	3
ENST00000797766	ENSG00000303873	0	0	1	0	0	0
ENST00000797767	ENSG00000303874	0	0	2	0	0	0
ENST00000797776	ENSG00000287448	0	0	0	2	0	5
ENST00000797816	ENSG00000291147	0	0	0	0	1	0
ENST00000797821	ENSG00000291147	0	0	0	1	1	0
ENST00000797824	ENSG00000291147	0	0	0	0	1	0
ENST00000797825	ENSG00000291147	0	0	0	1	0	0
ENST00000797833	ENSG00000291147	0	1	0	0	1	0
ENST00000797835	ENSG00000291147	1	0.93208	0	0.48573	1.68605	5
ENST00000797836	ENSG00000291147	0	0.96629	1.80733	4	6	3.59925
ENST00000797837	ENSG00000291147	0	0	0	0	0	1
ENST00000797845	ENSG00000291147	25.25933	0.98268	17.58058	25.07244	39.04367	37.41184
ENST00000797855	ENSG00000303878	0	0	0	1	0	2
ENST00000797856	ENSG00000303878	0	0	0	0	0	1
ENST00000797857	ENSG00000303878	2	0	0	0	0	0
ENST00000797869	ENSG00000185904	0	0	1	0	0	0
ENST00000797888	ENSG00000234171	0	0	0	2	0	1
ENST00000797889	ENSG00000234171	2	0	0	0	0	0
ENST00000797890	ENSG00000234171	0	1	4	4	1	1
ENST00000797891	ENSG00000234171	16	13	10	24	24	18
ENST00000797892	ENSG00000234171	0	0	0	0	0	2
ENST00000797894	ENSG00000303888	0	0	0	1	0	0
ENST00000797916	ENSG00000303893	0	0	0	1	0	1
ENST00000797921	ENSG00000303897	1	0	1	1	0	1
ENST00000797923	ENSG00000303898	1	0	1	9	14	6
ENST00000797940	ENSG00000303901	0	0	0	6	0	3
ENST00000797945	ENSG00000303901	8	13	10	38	44	27
ENST00000797963	ENSG00000303904	0	0	0	0	0	1
ENST00000797981	ENSG00000303906	0	0	0	0	0	1
ENST00000797983	ENSG00000303906	0	0	0	3	0	0
ENST00000797995	ENSG00000249815	0	0	0	1	0	0
ENST00000797997	ENSG00000249815	0	1	0	0	0	0
ENST00000798057	ENSG00000279141	0	0	0	1	0	0
ENST00000798059	ENSG00000279141	0	2	4	5	8	6
ENST00000798060	ENSG00000279141	0	1	0	0	0	0
ENST00000798061	ENSG00000279141	0	0	0	5	5	4
ENST00000798065	ENSG00000303913	0	0	0	3	1	0
ENST00000798075	ENSG00000303920	0	0	0	4	6	7
ENST00000798097	ENSG00000290866	0	2	0	0	0	0
ENST00000798099	ENSG00000290866	3	1.84087	0	20	25	16
ENST00000798107	ENSG00000303931	0	2	2	2	1	1
ENST00000798115	ENSG00000253182	0	1	0	0	0	0
ENST00000798118	ENSG00000253182	0	3	0	0	0	0
ENST00000798127	ENSG00000289156	0	0	0	0	1	0
ENST00000798130	ENSG00000289156	0	0	0	0	1	3
ENST00000798140	ENSG00000291173	0	0	0	0	0	1
ENST00000798154	ENSG00000303936	0	0	0	2	0	0
ENST00000798155	ENSG00000303936	2	6	4	13	27	8
ENST00000798156	ENSG00000303936	0	0	0	0	1	0
ENST00000798157	ENSG00000303936	10	16	12	16	22	20
ENST00000798158	ENSG00000303936	4	5	5	11	15	8
ENST00000798159	ENSG00000303936	0	2	1	5	0	0
ENST00000798203	ENSG00000290125	0	3	0	0	0	1
ENST00000798204	ENSG00000290125	20	3	8	25	13	11
ENST00000798207	ENSG00000226990	0	0	0	0	0	4
ENST00000798223	ENSG00000303942	0	1	3	0	0	0
ENST00000798229	ENSG00000303944	0	0	1	0	0	0
ENST00000798232	ENSG00000303946	0	0	0	1	0	0
ENST00000798233	ENSG00000303946	1	0	0	0	0	0
ENST00000798248	ENSG00000291168	0	0	0	0	0	1
ENST00000798326	ENSG00000303951	0	2	0	29	27	21
ENST00000798327	ENSG00000303952	0	1	0	0	0	3
ENST00000798328	ENSG00000303952	1	0	5	1	1	0
ENST00000798341	ENSG00000303954	0	0	0	1	0	0
ENST00000798346	ENSG00000286631	0	0	1	0	0	0
ENST00000798359	ENSG00000293222	0	0	0	0	0	1
ENST00000798360	ENSG00000293222	1	4	3	8	22	7
ENST00000798361	ENSG00000293222	0	0	0	0	0	2.5198
ENST00000798362	ENSG00000293222	1	0	0	1	2	0
ENST00000798381	ENSG00000187185	7	4	3	4	2	2
ENST00000798396	ENSG00000263307	0	0	0	0	1	0
ENST00000798407	ENSG00000251670	0	1	1	32	34	31
ENST00000798408	ENSG00000251670	0	0	0	15	17	11
ENST00000798427	ENSG00000303962	0	0	2	10	3	6
ENST00000798430	ENSG00000257557	1	6	17	18	13	6
ENST00000798431	ENSG00000257557	0	0	0	0	2	0
ENST00000798432	ENSG00000257557	0	0	0	0	1	0
ENST00000798449	ENSG00000223617	9.5	16.5	20	0	1	0
ENST00000798450	ENSG00000223617	4	4	3	0	0	0
ENST00000798453	ENSG00000303966	0	0	0	1	0	0
ENST00000798457	ENSG00000231050	0	0	0	0	0	1
ENST00000798464	ENSG00000231050	0	0	0	2	0	0
ENST00000798466	ENSG00000231050	3	0	0	0	0	0
ENST00000798475	ENSG00000253632	0	0	0	2	0	0
ENST00000798479	ENSG00000253632	1	0	0	0	0	0
ENST00000798481	ENSG00000253632	0	2	0	0	0	0
ENST00000798483	ENSG00000253632	0	0	0	1	0	0
ENST00000798489	ENSG00000293222	1	0	2	18	27	8
ENST00000798491	ENSG00000303970	0	0	0	1	0	0
ENST00000798494	ENSG00000245552	0	1	2	0	0	0
ENST00000798495	ENSG00000245552	0	0	1	0	0	0
ENST00000798503	ENSG00000245552	0	0	2	0	0	0
ENST00000798507	ENSG00000245552	0	1	0	0	0	0
ENST00000798511	ENSG00000245552	0	0	0	1	3	0
ENST00000798513	ENSG00000245552	0	0	0	2	2	1
ENST00000798517	ENSG00000245552	0	0	0	0	1	0
ENST00000798519	ENSG00000245552	0	0	1	0	0	0
ENST00000798527	ENSG00000245552	0	0	0	1	3	2
ENST00000798538	ENSG00000245552	0	1	0	0	2	1
ENST00000798545	ENSG00000245552	0	0	0	0	0	1
ENST00000798568	ENSG00000303974	0	1	0	0	0	0
ENST00000798572	ENSG00000290560	4	7	6	14	27	20
ENST00000798573	ENSG00000290560	0	0	0	3	4	7
ENST00000798574	ENSG00000290560	0	1	1	2	4	1
ENST00000798577	ENSG00000290560	0	0	0	0	0	1
ENST00000798578	ENSG00000290560	0	0	0	0	2	0
ENST00000798583	ENSG00000290560	0	0	0	0	1	0
ENST00000798588	ENSG00000290560	0	1	0	0	0	0
ENST00000798592	ENSG00000290560	0	0.54382	0	0	0	0
ENST00000798623	ENSG00000290797	0	0	0	1	1	1.7265
ENST00000798631	ENSG00000303980	0	0	0	2	0	0
ENST00000798633	ENSG00000303981	1	0	1	5	7	3
ENST00000798678	ENSG00000303991	0	1	0	0	2	3
ENST00000798680	ENSG00000303991	0	0	3	0	0	0
ENST00000798681	ENSG00000303991	0	0	0	1	1	0
ENST00000798682	ENSG00000303991	0	0	0	1	0	0
ENST00000798683	ENSG00000303991	0	0	0	0	1	1
ENST00000798704	ENSG00000303992	4	0	0	0	0	1
ENST00000798713	ENSG00000273406	0	0	0	0	0	1
ENST00000798716	ENSG00000293220	0	0	1	11	6	10
ENST00000798718	ENSG00000293220	0	0	0	6	7	5
ENST00000798719	ENSG00000293220	0	0	0	2	5	5
ENST00000798720	ENSG00000293220	5	0	0	2	2	1
ENST00000798740	ENSG00000303994	0	0	0	0	1	0
ENST00000798742	ENSG00000303995	0	0	0	0	0	1
ENST00000798744	ENSG00000303995	0	0	4	1	0	2
ENST00000798764	ENSG00000288964	0	1	0	0	0	0
ENST00000798767	ENSG00000288964	0	1	3	0	0	0
ENST00000798768	ENSG00000288964	2	1	3	1	0	1
ENST00000798773	ENSG00000235024	0	0	0	0	2	0
ENST00000798780	ENSG00000235024	0	0	0	1	0	0
ENST00000798791	ENSG00000279851	2	1	3	0	0	0
ENST00000798815	ENSG00000304007	0	0	0	0	1	0
ENST00000798816	ENSG00000304007	0	0	0	0	1	0
ENST00000798817	ENSG00000229109	11	20	14	24	24	30
ENST00000798818	ENSG00000229109	0	6	5	3	9	4
ENST00000798819	ENSG00000229109	0	0	0	0	0	1
ENST00000798820	ENSG00000229109	0	0	1	1	2	3
ENST00000798822	ENSG00000229109	0	1	0	0	0	0
ENST00000798828	ENSG00000304011	0	0	2	1	0	2
ENST00000798853	ENSG00000304013	1	2	4	0	3	1
ENST00000798918	ENSG00000288898	0	0	0	0	1	0
ENST00000798919	ENSG00000288898	0	1	0	1	4	0
ENST00000798920	ENSG00000288898	1	5	2	2	3	5
ENST00000798921	ENSG00000288898	0	1.92758	3	2	3.68257	3
ENST00000798925	ENSG00000288898	0	0	0	0	1	0
ENST00000798927	ENSG00000235904	3	3	9	7	7	20
ENST00000798929	ENSG00000235904	0	1	0	0	1	0
ENST00000798933	ENSG00000304023	0	0	0	0	2	1
ENST00000798934	ENSG00000304023	0	6	6	9	16	10
ENST00000798935	ENSG00000304023	0	0	0	1	0	1
ENST00000798936	ENSG00000304023	0	2	3	0	4	2
ENST00000798937	ENSG00000304023	1	1	0	14	31	23
ENST00000798938	ENSG00000304023	0	0	0	2	2	0
ENST00000798939	ENSG00000304023	0	0	0	0	0	1
ENST00000798940	ENSG00000304023	0	0	0	1	0	0
ENST00000798942	ENSG00000304023	0	0	0	0	1	0
ENST00000798947	ENSG00000304026	0	0	0	3	3	4
ENST00000798950	ENSG00000244558	0	0	2	0	0	0
ENST00000798952	ENSG00000244558	0	0	0	0	1	0
ENST00000798955	ENSG00000244558	3	0	4	4	1	19
ENST00000798956	ENSG00000244558	3	0	4	2	0	5
ENST00000798958	ENSG00000244558	2	2	0	5	3	12
ENST00000798960	ENSG00000227039	14.83318	29.05504	32.67123	0.92019	3	1
ENST00000798962	ENSG00000286451	2	7	8	6	6	7
ENST00000799006	ENSG00000304030	0	2	2	0	0	0
ENST00000799007	ENSG00000304030	0	0	0	2	1	0
ENST00000799009	ENSG00000304030	0	0	0	0	0	4
ENST00000799011	ENSG00000267549	1	1	14	15	37	16
ENST00000799012	ENSG00000304031	0	0	0	1	0	0
ENST00000799021	ENSG00000273162	0	0	0	1	1	0
ENST00000799022	ENSG00000273162	0	0	0	0	2	1
ENST00000799023	ENSG00000273162	0	1	1	0	0	3
ENST00000799044	ENSG00000287961	4	1	6	7	8	3
ENST00000799109	ENSG00000304043	0	0	0	0	5	3
ENST00000799115	ENSG00000288844	0	0	0	1	0	0
ENST00000799125	ENSG00000304048	0	0	0	0	0	2
ENST00000799127	ENSG00000304048	0	0	0	0	1	0
ENST00000799128	ENSG00000304048	0	0	0	0	0	1
ENST00000799154	ENSG00000304056	0	0	0	0	0	2
ENST00000799167	ENSG00000286797	0	0	0	2	1	0
ENST00000799173	ENSG00000227486	0	0	0	2	0	0
ENST00000799174	ENSG00000227486	0	0	0	0	0	1
ENST00000799175	ENSG00000227486	0	0	0	2	3	2
ENST00000799176	ENSG00000227486	0	0	1	0	2	0
ENST00000799177	ENSG00000227486	0	1	1	3	8	3
ENST00000799180	ENSG00000227486	1	0	1	1	6	2
ENST00000799181	ENSG00000227486	3	0	1	1.55925	0	1
ENST00000799182	ENSG00000227486	0	0	0	1.62968	0	0
ENST00000799183	ENSG00000227486	1	0	0	1	0	0
ENST00000799187	ENSG00000227486	0	0	0	0	0	1
ENST00000799188	ENSG00000227486	1	2	0	5	4	0
ENST00000799193	ENSG00000227486	0	0	0	0	1	0
ENST00000799198	ENSG00000227486	0	1	0	0	0	0
ENST00000799208	ENSG00000227486	0	0	0	0	0	1
ENST00000799212	ENSG00000227486	0	0	1	0	2	0
ENST00000799213	ENSG00000227486	0	0	1	0	0	0
ENST00000799214	ENSG00000227486	0	0	0	0	0	1
ENST00000799215	ENSG00000227486	0	0	0	0	0	1
ENST00000799218	ENSG00000227486	0	0	0	0	1	0
ENST00000799227	ENSG00000227486	0	0	2	3	1	2
ENST00000799236	ENSG00000227486	0	0	0	0	0	1
ENST00000799237	ENSG00000227486	0	0	0	1	1	2
ENST00000799238	ENSG00000227486	0	0	4	2	0	0
ENST00000799239	ENSG00000227486	0	0	0	1	1	1
ENST00000799240	ENSG00000227486	1	0	0	3	1	0
ENST00000799241	ENSG00000227486	0	1	0	3	0	3
ENST00000799248	ENSG00000227486	0	5	0	0	0	3
ENST00000799250	ENSG00000227486	1	0	1.92401	0	0	0
ENST00000799255	ENSG00000227486	0	0	1	0	0.83839	0
ENST00000799259	ENSG00000227486	2	0	0	0	0.04179	0.60159
ENST00000799266	ENSG00000227486	0	0	0	1	0	0
ENST00000799273	ENSG00000290956	0	0	0	0	0	1
ENST00000799284	ENSG00000290956	0	0	0	0	0	1
ENST00000799328	ENSG00000304062	0	0	2	0	0	0
ENST00000799356	ENSG00000246877	0	0	0	1	0	0
ENST00000799364	ENSG00000246877	3	0	0	1	0	0
ENST00000799365	ENSG00000246877	0	0	1	0	0	2
ENST00000799384	ENSG00000304068	0	0	0	0	1	0
ENST00000799388	ENSG00000304068	15	15	44	2	0	0
ENST00000799389	ENSG00000304069	0	0	0	3	0	0
ENST00000799390	ENSG00000304069	0	0	0	0	2	2
ENST00000799400	ENSG00000237879	0	0	1	1	0	1
ENST00000799412	ENSG00000237879	0	0	0	2	0	2
ENST00000799431	ENSG00000237879	0	0	0	1	0	0
ENST00000799436	ENSG00000257948	0	0	0	0	2	0
ENST00000799443	ENSG00000304072	0	2	2	3	13	22
ENST00000799490	ENSG00000235978	0	0	0	1	1	4
ENST00000799491	ENSG00000235978	0	0	0	1	1	1
ENST00000799495	ENSG00000235978	0	0	0	0	2	0
ENST00000799499	ENSG00000235978	0	0	2	2	2	3
ENST00000799501	ENSG00000235978	0	0	0	0	1	0
ENST00000799502	ENSG00000235978	0	0	0	2	3	1
ENST00000799503	ENSG00000235978	0	0	0	1	0	1
ENST00000799504	ENSG00000235978	0	1	0	3	2	0
ENST00000799505	ENSG00000235978	0	0	1	1	0	1
ENST00000799506	ENSG00000235978	0	0	0	2	2	4
ENST00000799507	ENSG00000235978	0	0	0	2	1	0
ENST00000799509	ENSG00000235978	0	0	0	1	1	0
ENST00000799516	ENSG00000304078	0	0	0	0	0	1
ENST00000799533	ENSG00000304082	1	0	2	0	1	2
ENST00000799534	ENSG00000304082	3	4	11	3	3	1
ENST00000799535	ENSG00000304082	6	0	0	0	3	2
ENST00000799538	ENSG00000304082	0	0	0	0	1	0
ENST00000799539	ENSG00000304082	0	0	1	1	0	0
ENST00000799540	ENSG00000304082	2	0	1	2	2	0
ENST00000799542	ENSG00000304082	0	0	0	1	0	1
ENST00000799543	ENSG00000304082	0	1	2	0	0	0
ENST00000799547	ENSG00000304082	0	0	0	2	2	2
ENST00000799550	ENSG00000250697	0	0	0	0	0	2
ENST00000799552	ENSG00000250697	0	0	0	14	13	21.91721
ENST00000799554	ENSG00000291156	41	32	45	0	0	0
ENST00000799556	ENSG00000291156	0	0	0	0	1	1
ENST00000799565	ENSG00000291156	14.21243	0	13.34004	0	0	0
ENST00000799566	ENSG00000291156	0	0	0.5	36.5	40	59.5
ENST00000799567	ENSG00000291156	4.5	4	3	0	0	0
ENST00000799569	ENSG00000291156	0	0	1	15.5	22.5	12
ENST00000799570	ENSG00000291156	0	0	0	2.5279	5.84069	1.19686
ENST00000799571	ENSG00000291156	0	0	0	7.4721	4.27434	2.80314
ENST00000799574	ENSG00000291156	3	0	3	0	0	0
ENST00000799575	ENSG00000291156	0	0	0	14	0	33
ENST00000799577	ENSG00000291156	0	0	0	1	0	0
ENST00000799578	ENSG00000291156	0	1	0.99999	0	0	0
ENST00000799579	ENSG00000291156	0	0	0	1	2	0
ENST00000799580	ENSG00000291156	0	0	2	9.99999	9	13.99999
ENST00000799582	ENSG00000291156	0	0	0	1e-05	0	1e-05
ENST00000799584	ENSG00000291156	0	0	0	7	0	0
ENST00000799585	ENSG00000291156	0	0	0	0	0	0.50242
ENST00000799586	ENSG00000291156	0	0	0	4	9	4
ENST00000799590	ENSG00000291156	1	0	0	0	0	0
ENST00000799593	ENSG00000291156	0	0	4.44275	0	0	0
ENST00000799598	ENSG00000291156	0	2	0	0	3	3
ENST00000799627	ENSG00000269439	1	3	2	17	22	13
ENST00000799628	ENSG00000269439	0	0	1	0	0	1
ENST00000799635	ENSG00000304089	0	0	1	2	0	1
ENST00000799638	ENSG00000304090	0	0	0	1	4	1
ENST00000799639	ENSG00000304090	0	0	0	0	1.70478	2.80304
ENST00000799641	ENSG00000304089	0	0	0	0.93448	0.96655	0
ENST00000799642	ENSG00000304091	0	0	0	1	0	0
ENST00000799644	ENSG00000287254	0	0	0	2	0	0
ENST00000799672	ENSG00000304098	1	0	0	0	0	0
ENST00000799685	ENSG00000203279	0	0	0	1	0	0
ENST00000799728	ENSG00000203279	0	0	0	0	0	2
ENST00000799771	ENSG00000203279	0	1	0	3	3	5
ENST00000799785	ENSG00000304102	0	0	0	4	3	2
ENST00000799787	ENSG00000304103	0	1	0	4	6	2
ENST00000799792	ENSG00000304105	0	0	1	0	0	0
ENST00000799810	ENSG00000232874	0	0	0	0	0	1
ENST00000799823	ENSG00000256268	3	1	5	20	14	18
ENST00000799824	ENSG00000256268	0	0	0	2	4	4
ENST00000799825	ENSG00000256268	1	0	0	0	0	4
ENST00000799828	ENSG00000256268	0	2	4	23	17	17
ENST00000799829	ENSG00000256268	0	0	0	12	6	9
ENST00000799830	ENSG00000256268	0	0	4	2	2	3
ENST00000799831	ENSG00000256268	3	0	0	0	0	0
ENST00000799833	ENSG00000256268	0	1	0	2	7	1
ENST00000799882	ENSG00000304119	0	0	0	0	2	0
ENST00000799884	ENSG00000304119	0	3	3	2	3	1
ENST00000799895	ENSG00000304120	5	1	2	0	0	1
ENST00000799913	ENSG00000290997	0	0	0	0	1	0
ENST00000799938	ENSG00000258689	1	0	1	1	2	3
ENST00000799952	ENSG00000304127	7	3	3	2	2	2
ENST00000799954	ENSG00000304127	0	0	6	0	0	0
ENST00000799955	ENSG00000304127	1	1	2	1	0	0
ENST00000799958	ENSG00000304127	2	4	0	2	2	3
ENST00000799959	ENSG00000304127	2	1	0	0	0	0
ENST00000799960	ENSG00000304128	3	1	3	0	0	0
ENST00000799980	ENSG00000304133	0	1	0	0	0	0
ENST00000799987	ENSG00000304136	0	0	0	0	0	1
ENST00000799991	ENSG00000304140	0	4	0	0	4	7
ENST00000799992	ENSG00000304140	61	100	170	225	216	206
ENST00000799993	ENSG00000304140	58	80	94	187	262	207
ENST00000799994	ENSG00000304140	57	60	78	139	135	147
ENST00000799995	ENSG00000304140	0	2	1	3	8	8
ENST00000800013	ENSG00000249085	0	0	0	0	1	0
ENST00000800015	ENSG00000249085	0	0	0	0	3	0
ENST00000800018	ENSG00000249085	0	0	1	1	0	0
ENST00000800021	ENSG00000266469	1	3	2	2	4	12
ENST00000800041	ENSG00000273443	10	5	9	0	4	1
ENST00000800083	ENSG00000293697	5	2	7	2	4	2
ENST00000800084	ENSG00000293697	5	8	7	2	4	2
ENST00000800086	ENSG00000293697	4	3	2	1	0	0
ENST00000800087	ENSG00000293697	1	6	3	1	0	0
ENST00000800088	ENSG00000293697	0	1	2	0	1	0
ENST00000800089	ENSG00000293697	0	0	1	0	1	0
ENST00000800098	ENSG00000293697	0	0	0	0	1	0
ENST00000800099	ENSG00000293697	0	3.97351	0	0	0	0.16749
ENST00000800105	ENSG00000304148	1	1	0	0	0	0
ENST00000800107	ENSG00000288846	3	10	3	0	0	0
ENST00000800108	ENSG00000288846	2	6	4	0	0	0
ENST00000800124	ENSG00000304155	0	0	0	0	3	0
ENST00000800135	ENSG00000253802	0	0	0	0	2	1
ENST00000800147	ENSG00000250999	5	0	2	0	1	1
ENST00000800149	ENSG00000250999	0	1	0	0	0	1
ENST00000800151	ENSG00000250999	0	0	1	0	0	0
ENST00000800152	ENSG00000250999	0	3	6	3	0	0
ENST00000800153	ENSG00000250999	2	1	0	1	0.95392	0
ENST00000800155	ENSG00000250999	0	0	0	0	1	0
ENST00000800156	ENSG00000250999	0	0	0	0	0	1
ENST00000800157	ENSG00000250999	0	0	0	0	2	0
ENST00000800158	ENSG00000250999	0	1	3	3	0	0
ENST00000800161	ENSG00000250999	0	0	0	0	1	0
ENST00000800163	ENSG00000250999	2	1	1	1	4	3
ENST00000800164	ENSG00000250999	0	2	0	0	0	0
ENST00000800166	ENSG00000250999	0	0	0	0	3	0
ENST00000800167	ENSG00000250999	0	0	0	0	1	0
ENST00000800168	ENSG00000250999	0	0	0	0	0	2
ENST00000800169	ENSG00000250999	0	0.94539	1	0	0	0
ENST00000800173	ENSG00000250999	0	0	3	1	0	0
ENST00000800177	ENSG00000250999	0	0	4	5	0	0
ENST00000800181	ENSG00000250999	0	1	0	0	0	0
ENST00000800184	ENSG00000250999	1.85356	4.93624	1	0.94851	1	1
ENST00000800187	ENSG00000250999	0.38516	0	0	1	0	0
ENST00000800189	ENSG00000250999	0	0	0	0	0	1.69092
ENST00000800191	ENSG00000289213	4	2	0	101	104	83
ENST00000800192	ENSG00000289213	0	0	0	1	0	1
ENST00000800193	ENSG00000289213	2	0	0	2	2	2
ENST00000800194	ENSG00000289213	0	0	0	9	9	8
ENST00000800195	ENSG00000289213	0	0	0	0	5	1
ENST00000800197	ENSG00000289213	1	5	15	41	33	37
ENST00000800208	ENSG00000304162	0	0	0	1.88049	2.76673	10
ENST00000800209	ENSG00000304162	0	0	0	1.88945	3.82763	0
ENST00000800238	ENSG00000291065	0	0	0	2	0	0
ENST00000800239	ENSG00000291065	0	0	0	2	1	0
ENST00000800247	ENSG00000291065	0	0	0	2	0	0
ENST00000800249	ENSG00000304171	0	0	0	0	0	2
ENST00000800250	ENSG00000304171	0	0	0	1	0	0
ENST00000800296	ENSG00000304173	0	0	0	1	0	0
ENST00000800312	ENSG00000167912	2	1	5	0	0	0
ENST00000800314	ENSG00000167912	2	2	3	0	0	0
ENST00000800323	ENSG00000304176	0	0	0	1	0	0
ENST00000800326	ENSG00000304176	0	0	0	1	1	0
ENST00000800327	ENSG00000304176	0	0	0	0	1	0
ENST00000800328	ENSG00000304176	0	2	0	0	1	0
ENST00000800335	ENSG00000304176	0	0	0	2	0	0
ENST00000800345	ENSG00000304176	0	0	0	1	3	0
ENST00000800348	ENSG00000304176	0	0	0	2	1	0
ENST00000800349	ENSG00000304176	0	0	0	4	1	0
ENST00000800352	ENSG00000304176	0	0	1	0.13937	0	0
ENST00000800353	ENSG00000304176	2	1	0	3.93195	0	2
ENST00000800354	ENSG00000304176	0	0	0	0	0	1
ENST00000800374	ENSG00000304176	0	2	0	0	0	0
ENST00000800375	ENSG00000304176	0	0	0	0.7523	0.94337	0
ENST00000800380	ENSG00000304176	1	0	1	0	0	0
ENST00000800425	ENSG00000304176	12	7.5	14	0	19.99999	17.02963
ENST00000800426	ENSG00000304176	0	2.5	0	4	0	1.14074
ENST00000800427	ENSG00000304176	5.70306	0	2.8667	0	2	1
ENST00000800428	ENSG00000304176	1	0	2.68666	0.6917	7.6161	8
ENST00000800429	ENSG00000304176	0	1	1	3	1	1
ENST00000800432	ENSG00000304176	0	0	0	0	1	1
ENST00000800433	ENSG00000304176	0	0	1	1	0	0
ENST00000800435	ENSG00000304176	10.31447	19	18.9265	25.8305	23.888	23.67804
ENST00000800436	ENSG00000304176	0	2.7986	1	0	1.78588	0.84361
ENST00000800439	ENSG00000304176	0	0	1	1	3	0
ENST00000800440	ENSG00000304176	0	0	5	6	5.99392	3
ENST00000800443	ENSG00000304176	3.93021	7	0	2.15531	2.90052	0.96841
ENST00000800444	ENSG00000304176	0.34396	0	1	2.52978	16.45447	2.64041
ENST00000800446	ENSG00000304176	0.73211	12	4.13586	10	1.21142	0
ENST00000800447	ENSG00000304176	0	0	0	1	0	0
ENST00000800448	ENSG00000304176	3.31022	0	6.16214	7.40502	7.36973	1.82924
ENST00000800449	ENSG00000304176	0	2	1	2.07744	0.46951	0
ENST00000800450	ENSG00000304176	0	0	1	1	0	0
ENST00000800451	ENSG00000304176	0	2.90994	0	0	0	1
ENST00000800452	ENSG00000304176	0	1	0	3	0	2
ENST00000800453	ENSG00000304176	0	0.52979	0	0	3	0
ENST00000800454	ENSG00000304176	7	2	0	5.64368	3.39619	4
ENST00000800455	ENSG00000304176	0	0	0	0	3	1
ENST00000800457	ENSG00000304176	0	0	0	1	0	0
ENST00000800460	ENSG00000304176	0	2	0	0	0	0
ENST00000800463	ENSG00000304176	0	1	0	0	0	0
ENST00000800465	ENSG00000304176	0	0	0	0.81687	0	0
ENST00000800466	ENSG00000304176	0	1	1	2	2.93969	0
ENST00000800467	ENSG00000304176	0	1	2	1	1	0
ENST00000800470	ENSG00000304176	0	1	0	0	0	0
ENST00000800471	ENSG00000304176	0	0	0	0	1	0
ENST00000800473	ENSG00000304176	0	0	0	0	2	0.91093
ENST00000800474	ENSG00000304176	0	0	0	1	0	0
ENST00000800475	ENSG00000304176	0	0	0	0	0.21308	0
ENST00000800477	ENSG00000304176	0	3	0.34841	4.83431	0.21013	3.22236
ENST00000800481	ENSG00000304176	0	0	0	1	0	0
ENST00000800482	ENSG00000304176	0	0	0	4	0	2
ENST00000800484	ENSG00000304176	0	0	0	0	1	0
